id,category,set,question
1,Direct AI Experience,A,"I have hands-on experience building and training AI models."
2,Direct AI Experience,A,"I have successfully deployed AI systems in production environments."
3,Direct AI Experience,A,"AI tools or systems are a major component of my daily work activities."
4,Direct AI Experience,A,"I have contributed to AI research projects in academic or industry settings."
5,Direct AI Experience,A,"I am proficient in using popular AI frameworks and libraries (e.g., TensorFlow, PyTorch)."
6,Direct AI Experience,A,"I have experience in fine-tuning pre-trained AI models for specific tasks."
7,Direct AI Experience,A,"I have worked on natural language processing (NLP) projects using AI."
8,Direct AI Experience,A,"I have implemented computer vision algorithms using AI techniques."
9,Direct AI Experience,A,"I have experience with reinforcement learning algorithms and applications."
10,Direct AI Experience,A,"I have worked on AI projects involving large-scale data processing."
11,Direct AI Experience,B,"I have never personally built or trained an AI model."
12,Direct AI Experience,B,"I lack experience in deploying AI systems in real-world environments."
13,Direct AI Experience,B,"AI tools or systems play a minimal role in my work activities."
14,Direct AI Experience,B,"I have not participated in any formal AI research projects."
15,Direct AI Experience,B,"I find it challenging to use common AI frameworks and libraries."
16,Direct AI Experience,B,"I have not attempted to fine-tune or customize pre-existing AI models."
17,Direct AI Experience,B,"I have no practical experience with AI-based natural language processing."
18,Direct AI Experience,B,"I have not worked on any computer vision projects involving AI."
19,Direct AI Experience,B,"I am unfamiliar with implementing reinforcement learning algorithms."
20,Direct AI Experience,B,"I have not been involved in AI projects requiring large-scale data handling."
21,Adjacent Tech Experience,A,"I have extensive experience configuring and managing network firewalls."
22,Adjacent Tech Experience,A,"I am proficient in deploying and managing cloud services (e.g., AWS, Azure, GCP)."
23,Adjacent Tech Experience,A,"I have strong programming skills in one or more languages."
24,Adjacent Tech Experience,A,"I have been responsible for the overall management of technical systems or platforms."
25,Adjacent Tech Experience,A,"I have experience in designing and implementing complex software architectures."
26,Adjacent Tech Experience,A,"I am skilled in database design and management."
27,Adjacent Tech Experience,A,"I have hands-on experience with cybersecurity practices and tools."
28,Adjacent Tech Experience,A,"I have conducted or managed penetration testing and vulnerability assessments."
29,Adjacent Tech Experience,A,"I am experienced in managing and scaling IT infrastructure."
30,Adjacent Tech Experience,A,"I have worked on projects involving IoT (Internet of Things) technologies."
31,Adjacent Tech Experience,B,"I find it challenging to configure or manage network security devices."
32,Adjacent Tech Experience,B,"I have limited experience working with cloud computing platforms."
33,Adjacent Tech Experience,B,"I do not consider myself proficient in any programming languages."
34,Adjacent Tech Experience,B,"I have not held positions where I was accountable for technical systems or platforms."
35,Adjacent Tech Experience,B,"I have not been involved in designing complex software or system architectures."
36,Adjacent Tech Experience,B,"I have minimal experience with database management or design."
37,Adjacent Tech Experience,B,"I am not well-versed in cybersecurity practices or tools."
38,Adjacent Tech Experience,B,"I have never participated in penetration testing or vulnerability assessments."
39,Adjacent Tech Experience,B,"I have limited experience in managing or scaling IT infrastructure."
40,Adjacent Tech Experience,B,"I have not worked on any projects involving IoT technologies."
41,AI-Related Education,A,"I hold an undergraduate degree in a STEM field."
42,AI-Related Education,A,"I have a graduate degree (Master's or Ph.D.) in a STEM discipline."
43,AI-Related Education,A,"I have completed a degree in Computer Science or Computer Engineering."
44,AI-Related Education,A,"I have pursued advanced studies specifically in AI or Machine Learning."
45,AI-Related Education,A,"I have completed accredited online courses in AI or ML from platforms like Coursera or edX."
46,AI-Related Education,A,"I hold professional certifications related to AI or data science."
47,AI-Related Education,A,"I have attended formal workshops or training programs on AI ethics."
48,AI-Related Education,A,"My educational background provides a strong foundation for understanding AI concepts."
49,AI-Related Education,A,"I have completed coursework in advanced mathematics relevant to AI (e.g., linear algebra, calculus, statistics)."
50,AI-Related Education,A,"I have participated in academic research projects related to AI during my studies."
51,AI-Related Education,B,"I do not have any formal education in STEM fields."
52,AI-Related Education,B,"My highest level of education is not in a STEM-related field."
53,AI-Related Education,B,"I have not studied Computer Science or Computer Engineering academically."
54,AI-Related Education,B,"I have not pursued any specialized education in AI or Machine Learning."
55,AI-Related Education,B,"I have not completed any online courses focused on AI or ML."
56,AI-Related Education,B,"I do not hold any professional certifications related to AI or data science."
57,AI-Related Education,B,"I have not received any formal training in AI ethics."
58,AI-Related Education,B,"My educational background is primarily in non-technical fields (e.g., liberal arts, humanities)."
59,AI-Related Education,B,"I have not taken advanced mathematics courses relevant to AI."
60,AI-Related Education,B,"I have not been involved in any academic research projects related to AI."
61,Conspiracy Theory Risk Factors,A,"I generally feel calm and relaxed in my daily life."
62,Conspiracy Theory Risk Factors,A,"I maintain a positive outlook despite life's challenges."
63,Conspiracy Theory Risk Factors,A,"I have a strong support network of friends and family."
64,Conspiracy Theory Risk Factors,A,"I rarely experience prolonged periods of sadness or hopelessness."
65,Conspiracy Theory Risk Factors,A,"I am generally in good physical health."
66,Conspiracy Theory Risk Factors,A,"I find it easy to trust others and institutions."
67,Conspiracy Theory Risk Factors,A,"I feel connected to my community and society at large."
68,Conspiracy Theory Risk Factors,A,"I cope well with uncertainty and unpredictable situations."
